,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY
13,13,24,"great, i am stuck in the train waiting for it to move. i need a bathroom now. https: and and t.co and bm86zl6jh1",2020-12-03 21:15:04+00:00,2020-12-03,2020-48
14,14,29,a drunk man just pulled down his mask and shoved a hand full of ice cream in his mouth with his fingers. this is happening on mta righn now.,2020-12-03 21:04:06+00:00,2020-12-03,2020-48
15,15,30,the new normal 7 express to flushing main st at queens boro plaza (7330) 1600 hrs https: and and t.co and traugkbcct,2020-12-03 21:01:30+00:00,2020-12-03,2020-48
16,16,33,"thank you bus driver of 6263, needs to give him a raise he just told a gentleman to put his mask on, he would not move the bus unless he put his mask back on. this is the 1st bus driver that i witnessed to do this. ""bravo""",2020-12-03 20:39:10+00:00,2020-12-03,2020-48
17,17,36,sometimes you really do got to change subway cars because the vibes are just off.,2020-12-03 20:04:15+00:00,2020-12-03,2020-48
18,18,38,was that black city edition jersey with the subway circle officially announced?,2020-12-03 19:59:35+00:00,2020-12-03,2020-48
19,19,41,walking 6 blocks to my apartment instead of taking the l train because i am a sinner and deserve punishment,2020-12-03 19:03:57+00:00,2020-12-03,2020-48
20,20,43,"hey , have someone take a look at car 7238 (currently on train 3848). the part of one of the doors that is supposed to reduce the gap between the train and platform did not fully extend when at the metuchen stop. https: and and t.co and u24wojrmdt",2020-12-03 18:50:50+00:00,2020-12-03,2020-48
21,21,48,"yey. dayun ta? i will be home by 8:30. you know na, train life",2020-12-03 18:12:02+00:00,2020-12-03,2020-48
22,22,54,"i never said all he did was walk the tunnels, i said it would be nice for him to ride the train more often.",2020-12-03 17:21:09+00:00,2020-12-03,2020-48
23,23,55,"a pot smoking, topless betty boop doppelganger, a mad hatter type fella and a white rabbit like creature on an m train. yeah, transit is a very good beat. and many thanks to tv who credited reporting. https: and and t.co and jy9vc9zjzf https: and and t.co and jija1l1mtm",2020-12-03 17:13:44+00:00,2020-12-03,2020-48
24,24,59,she so fucking cold with it!!! i felt her when she chunked that whole kid under the train. lmfao.,2020-12-03 16:49:47+00:00,2020-12-03,2020-48
25,25,61,i know this is necessary but it is going to be a long and painful 2021 without access to the number 1 train 181st station https: and and t.co and 2r3zncehpb,2020-12-03 16:46:31+00:00,2020-12-03,2020-48
26,26,62,i guess i really did miss watching rats doing their thing on the subway tracks,2020-12-03 16:42:21+00:00,2020-12-03,2020-48
27,27,65,"the people at cb6 stop at the top of the subway stairs to zip up our coats, nobody likes us https: and and t.co and kgirynumrz",2020-12-03 16:21:16+00:00,2020-12-03,2020-48
28,28,66,"the mta serves the suburbs too! cannot just be nyc residents for, e.g. the train",2020-12-03 16:21:01+00:00,2020-12-03,2020-48
29,29,67,"millions of his constituents take the subway every day! (before this year, anyway). walking the tunnels is great too but i do not think it is crazy to expect the one man in the state with the most power over the mta to ride it once a year or more.",2020-12-03 16:08:52+00:00,2020-12-03,2020-48
30,30,72,had a literal split second of sheer panic because i thought i got on the subway to work with my houseshoes on,2020-12-03 15:43:17+00:00,2020-12-03,2020-48
31,31,81,when you swipe time to get on train,2020-12-03 14:49:06+00:00,2020-12-03,2020-48
32,32,85,i had taken the wrong mta train... but this is a first one on the path. i need better sleep,2020-12-03 13:47:17+00:00,2020-12-03,2020-48
33,33,86,"i am in the last car () of the train to oyster bay. no station announcements, digital signs are not working, conductors are at the end of the car chatting (loudly) about life. they have not checked tickets since jamaica.",2020-12-03 13:28:52+00:00,2020-12-03,2020-48
34,34,88,"i am at mta nyct linden shop in brooklyn, ny https: and and t.co and atsqr9xjps",2020-12-03 12:10:58+00:00,2020-12-03,2020-48
35,35,89,why is the q train running so slow in brooklyn? i am trying to get to 72nd and we are stuck at parkside av.,2020-12-03 11:58:52+00:00,2020-12-03,2020-48
36,36,90,it is annoying to drink coffee and keep taking my mask down on the train,2020-12-03 11:57:53+00:00,2020-12-03,2020-48
37,37,91,it is not a comfortable feeling when you find yourself in a crowded car and you have no choice but to travel by subway and waiting for a next train is not possible. with pending service cuts this is going to be a scary year.,2020-12-03 10:40:01+00:00,2020-12-03,2020-48
38,38,92,"for the amount of ubers that i got to spend on for a weekly basis, due to your buses not showing up i should sue your asses for reimbursement!!!!",2020-12-03 08:40:14+00:00,2020-12-03,2020-48
39,39,99,when is the next n train arriving at the southbound platform on canal st,2020-12-03 05:21:08+00:00,2020-12-03,2020-48
40,40,101,"paint by numbers: 24 subway cars on six lines tagged with graffiti in weekend blitz. the hits included five cars on an m train coated with ""alice in wonderland"" like characters &amp; a topless betty boop lookalike. https: and and t.co and jy9vc9zjzf",2020-12-03 04:21:30+00:00,2020-12-03,2020-48
41,41,104,rewind to the time i got caught reading pippi longstocking on the a train.,2020-12-03 03:44:54+00:00,2020-12-03,2020-48
42,42,107,"i love that i can make a friend on line, on the train, riding the escalator, doing absolutely anything.",2020-12-03 02:36:52+00:00,2020-12-03,2020-48
43,43,108,"i can only vaguely recall. last 15 years train ""vozarenje"" !!!",2020-12-03 02:26:16+00:00,2020-12-03,2020-48
44,44,109,what is the m train?,2020-12-03 02:21:45+00:00,2020-12-03,2020-48
45,45,111,powerhouse hobbs reminds me of ice train from wcw.,2020-12-03 01:57:18+00:00,2020-12-03,2020-48
46,46,112,powerhouse hobbs be giving me ice train from wcw vibes,2020-12-03 01:54:20+00:00,2020-12-03,2020-48
47,47,116,is this happening on broadway sidewalk next to the 50th st subway entrance? therems already a set up for confs there,2020-12-03 01:13:15+00:00,2020-12-03,2020-48
48,48,117,imagine you go on a date and dude tells you you all about to take the train and you got to hop lmaoooo,2020-12-03 01:06:36+00:00,2020-12-03,2020-48
49,49,118,there is also something abt a guy in a suit standing on top of an old timey train,2020-12-03 00:51:54+00:00,2020-12-03,2020-48
50,50,119,"err, autocorrect or typing on a smooth cutlass subway w and no feeback as to what y'r typing, ala dtmf",2020-12-03 00:48:17+00:00,2020-12-03,2020-48
51,51,120,"keeping kids home is a win. mta seems to have done what many other have not been able to, force a holiday pause.",2020-12-03 00:47:43+00:00,2020-12-03,2020-48
52,52,122,"i am at mta b38 bus stop in brooklyn, ny https: and and t.co and jmuymkptgt",2020-12-03 00:22:35+00:00,2020-12-03,2020-48
53,53,124,it hits different on the q train,2020-12-17 23:48:59+00:00,2020-12-17,2020-50
54,54,126,feeling v alive that i no longer have to do any train transfers to get to work,2020-12-17 23:03:46+00:00,2020-12-17,2020-50
55,55,128,"yesterday on the 1 train i changed cars 3 times in order avoid homeless without masks. i saw no mask enforcement. in one car a homeless person was blowing his nose putting the results on display. if you want to increase ridership, address these issues.",2020-12-17 22:38:19+00:00,2020-12-17,2020-50
56,56,132,"i need to make an ""at risk subway signs"" album. stuff like this is why my phone is so full",2020-12-17 21:56:14+00:00,2020-12-17,2020-50
57,57,136,i love how the mta looks at you like you are an asshole when you ask for a free ride in the middle of a pandemic during a snow storm,2020-12-17 21:23:33+00:00,2020-12-17,2020-50
58,58,139,"??????? hello???? but not sanitation, usps, mta or other delivery people imma fight them https: and and t.co and chqp9h9755",2020-12-17 21:11:02+00:00,2020-12-17,2020-50
59,59,143,they can legit go to shelters. the subway is trying to deter homeless people from congregating in the system.,2020-12-17 20:15:56+00:00,2020-12-17,2020-50
60,60,144,"today, i learned the name of a new neighborhood (that apparently i have seen out the window of the a train many times before without realizing)",2020-12-17 20:05:42+00:00,2020-12-17,2020-50
61,61,145,"if a parent is unable or as is more likely, unwilling to train a child to wear a mask in public, then they cannot expect to take them on a plane. flying is not a ""right"". it is a service offered under contract (the ticket) by a private company according to rules &amp; regs they make. if",2020-12-17 19:58:35+00:00,2020-12-17,2020-50
62,62,151,i hope deblazz sends mayor pete and the mister a fruit basket. we need serious help with the mta here in nyc. deblazz should have known better than to write that tweet.,2020-12-17 18:48:13+00:00,2020-12-17,2020-50
63,63,153,the l train is outside but that is a good joke for out of towners.,2020-12-17 18:29:40+00:00,2020-12-17,2020-50
64,64,154,"i did not want to face the snow and cold today, but fomo of missing the shiny explorer pikachu forced me out the door to grind. first mon i clicked on my way up the escalator from the subway!!! living shiny costume dex complete again at least for for the next 21h https: and and t.co and 47wdarglyn",2020-12-17 18:29:39+00:00,2020-12-17,2020-50
65,65,159,shaking my fist at the sky and shouting buttigieg whenever the mta is delayed,2020-12-17 17:42:55+00:00,2020-12-17,2020-50
66,66,161,wow that train is so hard to see ! god bless them all for working! be safe ! my dad worked for the train and they worked this kind of snow. my dad loved his commuters and loved to help them .,2020-12-17 17:07:53+00:00,2020-12-17,2020-50
67,67,162,and people still on the train without masks because there is no mask mandate https: and and t.co and 5q96mzlmg1,2020-12-17 17:05:26+00:00,2020-12-17,2020-50
68,68,165,just a fake photo opp! just like on the staged subway car! but people buy into the incessant bullshit! ny is ruined!,2020-12-17 16:55:40+00:00,2020-12-17,2020-50
69,69,166,update.... saved the day... my airpod was still unscathed after being on the tracks of the q for 24 hours... mta fetched it and after deep sanitization it is like nothing ever happened!!!! built tough! thank you q train 86 and 2nd,2020-12-17 16:55:35+00:00,2020-12-17,2020-50
70,70,171,now i have to make a path for her fat ass to walk on,2020-12-17 16:11:01+00:00,2020-12-17,2020-50
71,71,172,being on the train during a drop has to be the most frustrating thing so many ls today,2020-12-17 16:10:08+00:00,2020-12-17,2020-50
72,72,175,thanks to the and for getting me to work on time this morning. the 6 subway service and the harlem line we are on point today.,2020-12-17 15:55:05+00:00,2020-12-17,2020-50
73,73,180,mayor pete going to make us all listen to high hopes on the subway shaking my head,2020-12-17 15:17:06+00:00,2020-12-17,2020-50
74,74,183,"morning after nor'easter good news: no power outages in sound shore (for now) train delays, snow days, car crashes basic message is stay home and let the dpw crews do their thing. https: and and t.co and lbsow49qu0 https: and and t.co and ahzkcxvlpk",2020-12-17 14:48:30+00:00,2020-12-17,2020-50
75,75,186,what is the n train hold up? manhattan bound n train on astoria blvd,2020-12-17 14:41:36+00:00,2020-12-17,2020-50
76,76,189,i am stuck above the rockaway blvd street level? is going on? what does the issue in broad channel have anything to do with the northbound train i am in?,2020-12-17 14:24:43+00:00,2020-12-17,2020-50
77,77,192,i understand it is snowing but this is not the first storm in history. signal delays on at 9th ave in brooklyn for 35 minute. this is ridiculous,2020-12-17 13:50:47+00:00,2020-12-17,2020-50
78,78,193,"i legit had a panic attack on the a train yesterday because like 5 people got on my car no mask right before it went express. i am too chicken to cross between cars, so i will just spend the next two weeks worrying",2020-12-17 13:50:07+00:00,2020-12-17,2020-50
79,79,195,the mta should have the trains and busses free today. people still have to go to work in this snow,2020-12-17 13:28:53+00:00,2020-12-17,2020-50
80,80,196,leave it to some snow and my winter boots to re affirm how out of shape i currently am. yikes... just took me 9 minutes to do an otherwise 3 4 minute walk to the subway and i am huffin',2020-12-17 13:25:23+00:00,2020-12-17,2020-50
81,81,197,major delays on the b &amp; q lines in both directions. i have been sitting on the train at each stop. could have at least closed the doors. it is freezing https: and and t.co and hb5nlmyskx,2020-12-17 13:22:00+00:00,2020-12-17,2020-50
82,82,201,"take the train you all , trust me",2020-12-17 12:13:28+00:00,2020-12-17,2020-50
83,83,202,just make sure the path clear to take flight,2020-12-17 12:08:46+00:00,2020-12-17,2020-50
84,84,203,resilient : plastic bags on shoes and a very broken umbrella... she made it to the subway https: and and t.co and 8mvhrnd5r6,2020-12-17 11:55:49+00:00,2020-12-17,2020-50
85,85,204,where are you trapped? i have to go to the 7 train now,2020-12-17 11:49:21+00:00,2020-12-17,2020-50
86,86,205,the walk to the train this morning was a damn workout,2020-12-17 11:44:05+00:00,2020-12-17,2020-50
87,87,207,when you give transit reports from please give complete information because i hear your reports all the time but you do not mention specific details of what is going on,2020-12-17 11:17:29+00:00,2020-12-17,2020-50
88,88,208,we are live at the mineola train station this morning. blustery conditions making it hard to see on the roadways. train running on a enhanced weekend schedule. https: and and t.co and piuua6pw2y,2020-12-17 11:00:56+00:00,2020-12-17,2020-50
89,89,210,should i drive to work or take the train,2020-12-17 10:40:16+00:00,2020-12-17,2020-50
90,90,211,"so i have a dilemma , so i am currently at work in the middle of a snow storm in new york city ? should i a) clock out an try to make my way to the train to possibly get home . b) wait it out till the city send trucks to move the snow ? c) take the 92 dollar the best . https: and and t.co and hwfjxp6qq8",2020-12-17 10:23:26+00:00,2020-12-17,2020-50
91,91,212,"the transit museum has so many cute things to buy online, like this cuddle train. wish it was real. if i ever saw a penguin on the n train i might squeal myself to death though. https: and and t.co and gkmlt8fglw",2020-12-17 10:14:29+00:00,2020-12-17,2020-50
92,92,213,what is the status of the movement of the train? will they be running?,2020-12-17 10:07:39+00:00,2020-12-17,2020-50
93,93,215,"oh geesh, i would of asked you to come shovel me a path, my knee is injured and i have hot to try to get out!! lool",2020-12-17 09:29:07+00:00,2020-12-17,2020-50
94,94,218,"i would gladly come sit by you on the path, but it is 3am in nyc and idt the path train is running rn bby",2020-12-17 08:18:11+00:00,2020-12-17,2020-50
95,95,220,literally had to train myself to stop waiting for shiiiiiit do it right now.,2020-12-17 06:17:32+00:00,2020-12-17,2020-50
96,96,222,"when you think anyone cannot be that stupid they always prove you wrong. sure just label the train covid 19 , no one will notice. this placard will be on the train before the actual name https: and and t.co and kqyqvd2z1y",2020-12-17 05:51:13+00:00,2020-12-17,2020-50
97,97,223,waiting for this meeting to end is like waiting for the l train to come on a sunday.,2020-12-17 05:42:52+00:00,2020-12-17,2020-50
98,98,230,thanks for getting me home safely on the in this epic snowstorm. 2nd ave to jackson st in less than 30 mins. hardly anyone on the road other than busses so be sure to thank your driver.,2020-12-17 04:15:57+00:00,2020-12-17,2020-50
99,99,231,been on this train for years,2020-12-17 04:11:45+00:00,2020-12-17,2020-50
100,100,232,"i know , this man patiently looked around for me while i was eating takeout and then he looked upset when i got on l train",2020-12-17 04:09:27+00:00,2020-12-17,2020-50
101,101,235,can we cyber bully zach for yelling for a taxi when he live a 3 hour train ride from nyc?,2020-12-17 03:46:05+00:00,2020-12-17,2020-50
102,102,236,looking at people on the subway and imagining where they are off to https: and and t.co and ydmb0ngg0z,2020-12-17 03:28:56+00:00,2020-12-17,2020-50
103,103,237,some nyc subway stations getting elevators while others get the shaft amid budget crunch https: and and t.co and ey0u1a4gkv,2020-12-17 03:16:17+00:00,2020-12-17,2020-50
104,104,241,i jinxed it with the subway photo. train broke down. now i am walking. midtown manhatten https: and and t.co and ueg9hagoqz,2020-12-17 03:05:17+00:00,2020-12-17,2020-50
105,105,244,covid + blizzard = the whole subway car to myself. time square subway 123 train https: and and t.co and reaktew44h,2020-12-17 02:50:12+00:00,2020-12-17,2020-50
106,106,247,walking by the same strangers every morning on my walk to the subway. https: and and t.co and npunlihwup,2020-12-17 02:29:40+00:00,2020-12-17,2020-50
107,107,249,"i am at mta subway atlantic ave and barclays center (b and d and n and q and are and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and uoonnodcch",2020-12-17 02:12:31+00:00,2020-12-17,2020-50
108,108,250,hello my mta family i just need some update on the 2 train am traveling.,2020-12-17 02:04:28+00:00,2020-12-17,2020-50
109,109,251,i agree that some of the choices seem arbitrary. but people here have no choice as to ride the subway to get to work or doctor's appointments. restaurants are non essential locations. you can wear masks on subways but not to eat. people also linger over meals and drinks.,2020-12-17 02:00:19+00:00,2020-12-17,2020-50
110,110,253,who tf gets hungry and buys subway?,2020-12-17 01:52:25+00:00,2020-12-17,2020-50
111,111,264,"finally listened to the final episode &amp; i am dyyyying (not in a 3d way) people on the train were worn out and deject &amp; i wz sittin there w and my ""oh shit"" supplies, cackling. i take not taking ish too seriously, very seriously. ! https: and and t.co and 8isr4yehnu",2020-12-17 00:33:53+00:00,2020-12-17,2020-50
112,112,265,"to top off a ducking dreadful day, just walked by some human shit in the middle of the subway path",2020-12-17 00:33:02+00:00,2020-12-17,2020-50
113,113,267,watching the train in the opposing direction set off mad sparks because of the snow on the third rail is a pretty stupid free firework show,2020-12-17 00:16:52+00:00,2020-12-17,2020-50
114,114,269,picture this: a seat for everyone standing on the train.,2020-02-12 23:51:46+00:00,2020-02-12,2020-06
115,115,270,my squad and i are running a train on your bitch like we playing zombies,2020-02-12 23:51:05+00:00,2020-02-12,2020-06
116,116,271,train hack get on the 8th ave bound l and ride it to the end of the line. hope on the next l to bk and you are set freeee!,2020-02-12 23:47:29+00:00,2020-02-12,2020-06
117,117,274,just bought a hanging plant off a dude in the train,2020-02-12 23:44:15+00:00,2020-02-12,2020-06
118,118,275,pretty sure i just saw elizabeth olsen waiting for the m train,2020-02-12 23:38:33+00:00,2020-02-12,2020-06
119,119,277,6 train.evening rush.blabber in tamil with suddena neenga tamizhanu oru voice.that is the beauty of this city.vazhga tamil!,2020-02-12 23:33:17+00:00,2020-02-12,2020-06
120,120,278,spanish songs hit different when you are alone on the subway,2020-02-12 23:32:10+00:00,2020-02-12,2020-06
121,121,279,i think the closest thing to having a valentine this week is intersecting legs with strangers on a crowded train ride home in a 6 seater row,2020-02-12 23:30:12+00:00,2020-02-12,2020-06
122,122,281,"i am at metro north cortlandt train station in cortlandt manor, ny https: and and t.co and dctwelx76p",2020-02-12 23:27:09+00:00,2020-02-12,2020-06
123,123,284,"i am at croton harmon train station metro north + amtrak in croton on hudson, ny https: and and t.co and ufwvdfchpj",2020-02-12 23:20:02+00:00,2020-02-12,2020-06
124,124,285,just tried to use my credit card to swipe into the subway. is it to be honest e weekend yet?,2020-02-12 23:16:08+00:00,2020-02-12,2020-06
125,125,287,"thanks for the delays on the number 4, 5 and 6 lines. all trains are running as slow as molasses, forcing me to get off at spring street and take alternative travel to get home after a long and tired day at work.",2020-02-12 23:10:59+00:00,2020-02-12,2020-06
126,126,288,love you all...off to get next train..,2020-02-12 23:10:20+00:00,2020-02-12,2020-06
127,127,290,maybe yang could run for mayor and then we would have someone with a spine to fight cuomo on faching the subway,2020-02-12 23:04:02+00:00,2020-02-12,2020-06
128,128,291,the closest i have come to using someone as a human shield: when someone is asking people to sign a petition when i get off the subway. https: and and t.co and vbhkruttmd,2020-02-12 23:03:11+00:00,2020-02-12,2020-06
129,129,292,i am sorry! i am standing on my train home so it is hard to retweet,2020-02-12 22:57:40+00:00,2020-02-12,2020-06
130,130,294,if i were the l train's brakes i would simply operate correctly https: and and t.co and uj7o1lspoh,2020-02-12 22:52:48+00:00,2020-02-12,2020-06
131,131,297,disgusted i see this gross couple everyday on my ride home. i cannot handle watching them make out on the train it is honestly disgusting. i genuinely do not care about pda but this specific couple drives me fucking mad. on top of it they never take off their book bags.,2020-02-12 22:50:30+00:00,2020-02-12,2020-06
132,132,298,i have not taken the train in so long do not miss this life at all,2020-02-12 22:44:44+00:00,2020-02-12,2020-06
133,133,301,oh we definitely have world peace. have you been on a q train at rush hour? that many humans crushed into a tiny metal can with music blasting without all our war breaking out? it could not happen without world peace. https: and and t.co and hdx7blp4qs,2020-02-12 22:43:04+00:00,2020-02-12,2020-06
134,134,305,sorry my iphone is experiencing power issues so i am unable to produce a ticket for 10 15 minutes,2020-02-12 22:33:54+00:00,2020-02-12,2020-06
135,135,306,"this person next to me opened a bag of peanuts in the subway. i am not allergic to peanuts, but if a person was... this is dangerous, right?",2020-02-12 22:33:11+00:00,2020-02-12,2020-06
136,136,307,but it is a good thing we have all that space in penn now,2020-02-12 22:31:38+00:00,2020-02-12,2020-06
137,137,308,teen pranksters pretend to spill coronavirus on nyc subway https: and and t.co and uzhknvqo9x via,2020-02-12 22:29:44+00:00,2020-02-12,2020-06
138,138,310,cleared: incident on at hoboken path station,2020-02-12 22:22:10+00:00,2020-02-12,2020-06
139,139,311,i have a three short block walk on wall st to the subway. i pass these curb cuts along the way. https: and and t.co and x3iz3y70oy,2020-02-12 22:13:12+00:00,2020-02-12,2020-06
140,140,312,thanks for the memories! the r42 fleet ran its last miles today completing over a half century of service. mta ind subway a and b and c and d at 125th street (st. nicholas ave) https: and and t.co and fwjehmvvdo,2020-02-12 21:56:34+00:00,2020-02-12,2020-06
141,141,313,flippers literally 2 blocks away from the canal a train stop,2020-02-12 21:56:19+00:00,2020-02-12,2020-06
142,142,315,"80 billion for a train. that you can just take regular coast starlight for more hours, sure, but it is practically free.",2020-02-12 21:48:54+00:00,2020-02-12,2020-06
143,143,316,on subway and a crazy lady talking about the,2020-02-12 21:42:10+00:00,2020-02-12,2020-06
144,144,317,"taking the train at 5 is a nightmare, i am glad i am not a normy and i do not have to do this on the reg.",2020-02-12 21:41:30+00:00,2020-02-12,2020-06
145,145,318,waiting for queens bound j train over 20 minutes at essex and no updates on the arrival boards.. what is going on?!?,2020-02-12 21:35:59+00:00,2020-02-12,2020-06
146,146,319,at woodside train station and about to say fuck it and buy a one way to long island,2020-02-12 21:35:37+00:00,2020-02-12,2020-06
147,147,321,"great seeing enid, michelle, and maserati this afternoon in parkchester! come see us right next to the 6 train this afternoon! https: and and t.co and v3pyojp28g",2020-02-12 21:32:49+00:00,2020-02-12,2020-06
148,148,322,definitely crazy train. maybe croxleys ale house?,2020-02-12 21:30:11+00:00,2020-02-12,2020-06
149,149,324,"i am at mta subway lexington ave and 63rd st (f and q) in new york, ny https: and and t.co and km9nwkoukb",2020-02-12 21:08:05+00:00,2020-02-12,2020-06
150,150,326,"i am at mta subway 23rd st (f and m) in new york, ny https: and and t.co and u2g2dqbyhq",2020-02-12 20:51:50+00:00,2020-02-12,2020-06
151,151,327,"i was at mta bus q5 in queens, ny https: and and t.co and pywvbpjqui",2020-02-12 20:47:57+00:00,2020-02-12,2020-06
152,152,330,good thing the bullet is set to come back on the new are 211 subway cars. https: and and t.co and ojrqyp80of,2020-02-12 20:33:33+00:00,2020-02-12,2020-06
153,153,331,"waiting on a train. astoria, new york https: and and t.co and rufcy3vkmq",2020-02-12 20:32:59+00:00,2020-02-12,2020-06
154,154,333,"i am at mta subway euclid ave (a and c) in brooklyn, ny https: and and t.co and swz3a4vhgr",2020-02-12 20:24:16+00:00,2020-02-12,2020-06
155,155,334,"the r42s die here.. .. boy were these great trains! ( mta subway euclid ave (a and c) in brooklyn, ny) https: and and t.co and fuiee5vh29",2020-02-12 20:15:06+00:00,2020-02-12,2020-06
156,156,335,the amount of impulse games i am going to go to this year just because i pass citi field on the train home every day is going to be astronomical,2020-02-12 20:10:18+00:00,2020-02-12,2020-06
157,157,336,train is straight up gross as fuck,2020-02-12 20:10:06+00:00,2020-02-12,2020-06
158,158,337,"i am at mta subway woodhaven blvd and slattery plaza (m and r) in elmhurst, ny https: and and t.co and auexk91t7p",2020-02-12 20:07:59+00:00,2020-02-12,2020-06
159,159,338,please remember the subway tunnels when deploying new 5g technologies,2020-02-12 20:00:41+00:00,2020-02-12,2020-06
160,160,339,only thing i like about 2 train is it is above ground in bx so i get service,2020-02-12 20:00:12+00:00,2020-02-12,2020-06
161,161,340,and they want to keep bumping the ticket prices up swearing that they are losing money because of people not buying tickets. mabe keep an eye on what your people are doing instead of crying that you need more money from the commuters to cover what your people are stealing. https: and and t.co and 0h0slotsrm,2020-02-12 19:53:32+00:00,2020-02-12,2020-06
162,162,344,laugh i am on the train now at pelham bay park boarding the 6.. departing at 2:51pm est.. image seen below https: and and t.co and en8y02u7m4,2020-02-12 19:47:07+00:00,2020-02-12,2020-06
163,163,346,lord knows i did not miss the 2 train and i am ready to smoke but i gottta visit family .,2020-02-12 19:41:48+00:00,2020-02-12,2020-06
164,164,347,fascinating how train signage went from gigantic and highly viable on the front of trains in the 1960s to smaller colored bullets on r42s in 1988 to a barely visible electronic display on the r32s in the same year. https: and and t.co and pgvcg5djnm,2020-02-12 19:12:52+00:00,2020-02-12,2020-06
165,165,349,i am going to throw a rose off the brighton beach ave subway platform,2020-02-12 19:10:56+00:00,2020-02-12,2020-06
166,166,350,"why is there ""beto"" scrawled in huge red letters all over this subway car",2020-02-12 19:10:20+00:00,2020-02-12,2020-06
167,167,353,"certainly cheaper. they are terrified of nimbys (who otherwise bitch relentlessly about parking) and ""disruption"", apparently thinking that east side access and the 2nd ave subway and the 7 train extension disrupted absolutely nothing.",2020-02-12 18:59:24+00:00,2020-02-12,2020-06
168,168,358,"this, an for a brown leather on the steps",2020-02-12 18:47:33+00:00,2020-02-12,2020-06
169,169,363,nahh why my mans get yon the train like this it are not safe it are not safe !! https: and and t.co and c32bmbeoxr,2020-02-12 18:25:55+00:00,2020-02-12,2020-06
170,170,365,"you guys have horrible service , the whole mta does . which is why nobody pays ya no more . expensive fare and horrible horrible service . legit do better",2020-02-12 18:22:04+00:00,2020-02-12,2020-06
171,171,366,"i actually got treated very good last night, food, drinks took the train with me and walked me to the front of my apartment (,:",2020-02-12 18:21:43+00:00,2020-02-12,2020-06
172,172,368,"whenever one of these trains popped up i would always walk in like it was a prank train and someone was about to jump out at me. i did enjoy the black benches, no explanation why. https: and and t.co and zoo8lurxg0",2020-02-12 18:20:00+00:00,2020-02-12,2020-06
173,173,370,this the only train you can walk thru between all the cars in one take https: and and t.co and mpetmgq00p,2020-02-12 18:14:23+00:00,2020-02-12,2020-06
174,174,372,r42 haiku waiting for the train got stuck on broad channel bridge perfect final run,2020-02-12 18:13:33+00:00,2020-02-12,2020-06
175,175,374,"i am at mta subway 96th st (q) in new york, ny https: and and t.co and 5yoh1baera",2020-02-12 18:08:44+00:00,2020-02-12,2020-06
176,176,375,i had to get off the train and come and see this.... r.i.p kobe. https: and and t.co and rmybsikyka,2020-02-12 18:06:33+00:00,2020-02-12,2020-06
177,177,377,sooooo when they put on top of penn station... i have to go to penn and see it in person... maybe after i leave time square tonight... and i better see a janet jackson billboard in time square... she should be in one of the subway stations too. call diblasio https: and and t.co and hjznrw9wam,2020-02-12 17:46:49+00:00,2020-02-12,2020-06
